"","trial_num","item_presentation","agent","object","item_name","item_number","speaker","background","trial_time_in_seconds","slider_response","slider_time_in_seconds"
"1",1,"accidental","Tiger","flower","fep",4,"tg",5,41.587,0.32,1.028
"2",2,"accidental","Monkey","bird","dax",4,"sb",8,59.057,0.89,1.556
"3",3,"accidental","Cat","artifact","blicket",4,"mh",3,30.715,0.83,1.45
"4",1,"pedagogical","Sheep","flower","fep",2,"mh",10,23.355,0.48,2.157
"5",2,"pedagogical","Pig","artifact","dax",2,"tg",6,22.113,0.71,1.1
"6",3,"pedagogical","Cat","bird","blicket",2,"sb",2,23.144,0.8,1.109
"7",1,"pedagogical","Bear","artifact","blicket",3,"tg",10,30.217,0.73,1.263
"8",2,"pedagogical","Pig","flower","dax",3,"sb",6,32.204,0.19,1.174
"9",3,"pedagogical","Sheep","bird","fep",3,"mh",9,32.241,0.67,2.39
"10",1,"pedagogical","Cat","artifact","blicket",3,"tg",9,30.138,0.5,4.374
"11",2,"pedagogical","Tiger","flower","dax",3,"sb",7,31.956,0.85,1.083
"12",3,"pedagogical","Pig","bird","fep",3,"mh",1,33.697,1,2.638
"13",1,"pedagogical","Sheep","artifact","blicket",1,"sb",6,14.099,0.52,3.181
"14",2,"pedagogical","Monkey","bird","dax",1,"tg",3,18.648,0.54,1.861
"15",3,"pedagogical","Bear","flower","fep",1,"mh",8,15.274,0.52,1.477
"16",1,"accidental","Dog","artifact","fep",2,"tg",8,19.011,0.52,1.596
"17",2,"accidental","Pig","bird","dax",2,"mh",6,20.441,0.76,1.548
"18",3,"accidental","Sheep","flower","blicket",2,"sb",5,23.55,0.67,3.527
