"","language","assess","age","gender","education","comments","problems","fairprice","worker_id"
"1","English","Yes","47","Female","1","Thank you","no","1.00","35a1498a0a0d900618fcb2f686976767"
"2","English","Yes","27","Male","4","No","No","1.00","854335ed9ab23a78a571c81462eabda3"
"3","English","Yes","28","Male","3","","no","1.00","2c3632c3adb774d150b4e8a00751a0e7"
"4","English","Yes","58","Male","3","none","no","1.00","eb2d2f4e95e2ca6f8967e6c8aba61a01"
"5","English","Yes","26","Male","2","","","1.00","ce2364de063c35393fb5aa9b0a3d0859"
"6","English","Yes","30","Female","4","well done","no","1","657a4f4592689a35b70c01ba1b9194b1"
"7","English","Yes","55","Male","0","none","no","1.00","b0ac21ebefae1a31131a2f7ceaf8f36f"
"8","English","Yes","34","Male","4","Nice Interesting Survey. I like the cartoon characters","NO","Good","0921339ab250b0023efeabcc1188b66c"
"9","engllish","Yes","37","Male","0","","","$5","245c80ce1fface84645a1b78573e0a4e"
"10","Chinese","Yes","35","Female","4","none","none","$1","1c2ca076eb0f55dd41f37be4bcc49d0c"
"11","English","Yes","54","Male","2","No","No","1.00","0aa6a26038d5abcba6fa0c26a9152df7"
"12","English","Yes","63","Male","3","Fun hit, thanks!","no","1.00","918a84eca9a8653015ef21b566110736"
"13","English","Yes","52","Male","3","","no","2","ed5c0d0a2ccb02c31beb91cbaa7d479b"
"14","english","Yes","55","Female","3","Thanks!","no","1.00","6e967720de1e00c8e392272372cca646"
"15","English, Portuguese","Yes","30","Male","3","","","$1","28554551f951aa45cc26630df4eca145"
"16","english","Yes","25","Male","3","","","2","53f1de2bd6d6190c23eeb4378af5a6e9"
"17","English","Yes","23","Female","3","no","no","1.00","3fe374f72347d8a6a5b480fb3bb0b32f"
"18","English","Yes","33","Male","2","Thanks.","None","1.00","6683b88ed6e7e73261c3185fe16f6aeb"
"19","english","Yes","53","Female","3","i like very much","no","500","3576d0837bde67f8b00fdef21538fefc"
"20","English","Yes","29","Male","3","No","No","1.00","a93957755e2a4ce8fd7744061f517e2e"
"21","English","Yes","36","Other","3","","No.","1.00","f6c8280ef59d5b5e8f6fe6f854de347e"
"22","English","Yes","70","Male","3","","no","1.00","f6b5078ef235dc70c3fa25917af9a981"
"23","English","Yes","26","Female","3","no","no","1.00","880dbd5470cf6299f2c81c41a9d44e3c"
"24","English","Yes","64","Male","4","","NO","YES ","d9af565b6ee216158e0c0b6c71f02b87"
"25","English","Yes","36","Male","3","no","no","1.00","92f1867f06059079218315bb85d7d3f8"
"26","English","Yes","46","Male","3","Nothing else I can think of","No problems","1.00","2ffe83dd15de4a2a903f4930ab726931"
"27","English","Yes","50","Female","3","","No","1","1b012c7dcb1bbbaed85c149dd2b7df07"
"28","English","Yes","57","Female","2","no","no","1.00","42c28724455f0ca3f05c0c84cf9f97a2"
"29","english","Yes","34","Female","4","","","1","9cc67a6a4be82cdc95c27c283e06c6b2"
"30","English","Yes","29","Female","2","","no","1","65aed64a28a1ab1ec7c3a16f1d9be59a"
"31","English","Yes","37","Male","3","","no","0.75","f47be346a6df029cd6dff3820892eccb"
"32","English","Yes","69","Male","3","I would have guessed that we would have had to recall what we ""learned""","No","$0.50","05c8c19439d9467366bc4d969691fe6e"
"33","US English","Yes","55","Female","3","no","I am not aware of any problems","1","502c58a95541c530b0f3bd32499df432"
"34","English","Yes","23","Female","3","good","good","1","d78ed421d536b29fd1a5db3272f3f148"
"35","english","Yes","46","Female","2","","no","1.00","868b76994cac210f9ec6694650f6c9a3"
"36","ENGLISH","Yes","32","Male","3","","NOTHING","1.00","00dd778cf7a63216aeb4b168e45b65b6"
"37","English","Yes","28","Male","4","","","1","0e1a3987532b580669d1439011d71498"
"38","English","Confused","45","Female","3","none","none","1","557054b502ed95532db6cc9f59cb163b"
"39","ENGLISH","Yes","31","Male","3","","No","$1","6eb8e0659cf2d4ff568005a31c818daf"
"40","English","Yes","46","Male","1","Study was a nice break from the norm.","Not that I noticed","A dollar is fair","bfcf582eb620370c71369ae24559f68c"
"41","ENGLISH","Yes","55","Female","3","","no","1.00","7151cb038f74e07ea89744a60801c16c"
"42","English","Yes","56","Female","3","","No problems","1.00","ae752c16346406a7aaf5da045b786e6a"
"43","English","Yes","25","Female","2","no","no","1.00","70d2722a315355006e7263430c555c30"
"44","english","Yes","56","Female","3","no","no","1.","d781c7fedeccb5ca74a11928eae7508f"
"45","English","Yes","32","Female","2","Thanks for making this easy and fun!","No issues","1.00","06c3af3db43fd56f976e83fbc7dfeb13"
"46","English","Yes","32","Male","3","This was quite a bizarre experiment.","There were no problems.","This is fair.","aaa7d1416993bfdcecc774591090cb21"
"47","English","Yes","24","Female","3","thank you :o)","nope!","0.50","c8b8bce6cad6c547504abaeb0773007d"
"48","english","Yes","28","Male","2","","no","1.00","8405ce3cb8afe159f717e994ea2c6786"
"49","English","Yes","35","Male","3","","NO","1","511c98fac07b004dd816ddad04c6ea18"
"50","English","Yes","29","Female","3","N/A","N/A","1","1a1a1cccfebc826610180e184bb5594f"
"51","English","Yes","57","Male","3","","no","1.00","5cb7d6a5663ed85bb79213772ebd2028"
"52","English","Yes","40","Female","3","No, everything seemed pretty straight-forward.","No, I didn't experience any problems.",".50","8c8f4f56a19bda9d9bc764e450ccc063"
"53","English","Yes","25","Male","3","","","$1.00","06d6ba81aed45a378d4ab6062266dbd9"
"54","English","Yes","34","Male","3","There's no reason to require audio for simple sentences.","No","1.00","ae97d98e9ee084eb88013614c5e7d7a4"
