workerid,proliferate.condition,total_time_in_seconds,error
15,accidental-1,178.508,
34,accidental-1,174.47,
17,accidental-1,244.044,
20,accidental-1,127.902,
30,accidental-1,220.319,
27,accidental-1,187.481,
26,accidental-1,199.125,
32,accidental-1,297.388,
24,accidental-1,152.009,
22,accidental-1,280.389,
19,pedagogical-1,204.901,
31,pedagogical-1,265.131,
33,pedagogical-1,285.053,
21,pedagogical-1,156.518,
23,pedagogical-1,1407.23,
25,pedagogical-1,227.378,
35,pedagogical-1,311.934,
29,pedagogical-1,387.307,
14,pedagogical-1,70.928,
18,pedagogical-1,341.202,
28,pedagogical-1,327.979,
