workerid,proliferate.condition,item_presentation_condition,n_examples,error
96,pedagogical-2,pedagogical,2,
116,pedagogical-2,pedagogical,2,
112,pedagogical-2,pedagogical,2,
128,pedagogical-2,pedagogical,2,
64,pedagogical-2,pedagogical,2,
100,pedagogical-2,pedagogical,2,
88,pedagogical-2,pedagogical,2,
52,pedagogical-2,pedagogical,2,
56,pedagogical-2,pedagogical,2,
72,pedagogical-2,pedagogical,2,
80,pedagogical-2,pedagogical,2,
120,pedagogical-2,pedagogical,2,
92,pedagogical-2,pedagogical,2,
60,pedagogical-2,pedagogical,2,
108,pedagogical-2,naive,2,
76,pedagogical-2,pedagogical,2,
104,pedagogical-2,pedagogical,2,
84,pedagogical-2,pedagogical,2,
124,pedagogical-2,pedagogical,2,
67,naive-2,naive,2,
99,naive-2,naive,2,
126,naive-2,naive,2,
89,naive-2,naive,2,
123,naive-2,naive,2,
51,naive-2,naive,2,
71,naive-2,naive,2,
87,naive-2,naive,2,
103,naive-2,naive,2,
82,naive-2,naive,2,
63,naive-2,naive,2,
59,naive-2,naive,2,
118,naive-2,naive,2,
55,naive-2,naive,2,
105,naive-2,naive,2,
115,naive-2,naive,2,
79,naive-2,naive,2,
94,naive-2,naive,1,
74,naive-2,naive,2,
111,naive-2,naive,2,
119,naive-1,naive,1,
98,naive-1,naive,1,
83,naive-1,naive,1,
91,naive-1,naive,1,
54,naive-1,naive,1,
114,naive-1,naive,1,
95,naive-1,pedagogical,1,
62,naive-1,naive,1,
110,naive-1,naive,1,
78,naive-1,naive,1,
70,naive-1,naive,1,
122,naive-1,naive,1,
86,naive-1,accidental,1,
107,naive-1,naive,1,
50,naive-1,naive,1,
58,naive-1,naive,1,
66,naive-1,naive,1,
75,naive-1,naive,1,
36,accidental-1,accidental,1,
15,accidental-1,accidental,1,
150,accidental-1,accidental,1,
144,accidental-1,accidental,1,
34,accidental-1,accidental,1,
148,accidental-1,accidental,1,
17,accidental-1,accidental,1,
142,accidental-1,accidental,1,
20,accidental-1,accidental,1,
30,accidental-1,accidental,1,
27,accidental-1,accidental,1,
140,accidental-1,accidental,1,
26,accidental-1,accidental,1,
32,accidental-1,accidental,1,
147,accidental-1,accidental,1,
24,accidental-1,accidental,1,
22,accidental-1,accidental,1,
90,accidental-2,accidental,1,
53,accidental-2,accidental,1,
135,accidental-2,accidental,1,
57,accidental-2,accidental,1,
93,accidental-2,accidental,1,
139,accidental-2,accidental,1,
85,accidental-2,accidental,1,
134,accidental-2,accidental,1,
136,accidental-2,accidental,1,
65,accidental-2,accidental,1,
109,accidental-2,accidental,1,
129,accidental-2,accidental,1,
81,accidental-2,accidental,1,
138,accidental-2,accidental,1,
101,accidental-2,accidental,1,
77,accidental-2,accidental,1,
137,accidental-2,accidental,1,
133,accidental-2,accidental,1,
106,accidental-2,accidental,1,
125,accidental-2,accidental,1,
73,accidental-2,accidental,1,
69,accidental-2,accidental,1,
49,accidental-2,accidental,1,
132,accidental-2,accidental,1,
113,accidental-2,accidental,1,
97,accidental-2,accidental,1,
61,accidental-2,accidental,1,
131,accidental-2,accidental,1,
117,accidental-2,accidental,1,
121,accidental-2,accidental,1,
130,accidental-2,accidental,1,
149,pedagogical-1,pedagogical,1,
19,pedagogical-1,pedagogical,1,
31,pedagogical-1,pedagogical,1,
33,pedagogical-1,pedagogical,1,
21,pedagogical-1,pedagogical,1,
23,pedagogical-1,pedagogical,1,
145,pedagogical-1,pedagogical,1,
25,pedagogical-1,pedagogical,1,
143,pedagogical-1,pedagogical,1,
35,pedagogical-1,pedagogical,1,
141,pedagogical-1,pedagogical,1,
29,pedagogical-1,accidental,1,
14,pedagogical-1,pedagogical,1,
18,pedagogical-1,pedagogical,1,
146,pedagogical-1,pedagogical,1,
28,pedagogical-1,pedagogical,1,
